school_name,community_name,community_population,distance_km
Rajagiri International School,TRADE CENTER FIRST,16519,35.77728222177122
The Winchester School,MADINAT AL MATAAR,2697,98.88334679333381
International School of Arts and Sciences,AL KHAIRAN FIRST,587,57.76196119609216
Greenwood International School,ME'AISEM SECOND,12,90.19667916006226
Gems Metropole School,MEREIYEEL,1119,127.61488663342065
Islamic School for Education and Training,GRAYTEESAH,55,117.8535558183012
Horizon English School,UMM ESELAY,204,119.65710394109331
Oasis School,AL KHAIRAN FIRST,587,68.29865824076616
GEMS Dubai American Academy,AL SAFFA FIRST,8514,57.04058052463342
Dubai Modern Education School,AL QUSAIS IND. THIRD,2710,11.12311094947801
The Westminster School,PORT SAEED,13551,10.696547477182417
Hartland Internaitnal School ,NAD AL SHIBBA FOURTH,3685,89.89933446994706
The International School of Choueifat - Dubai,REMAH,232,132.52267284174343
Safa Community School,LEHBAB SECOND,1511,127.84258602529383
The Winchester School,AL KIFAF,2,60.725798743201075
Institute of Applied Technology,MUHAISANAH SECOND ,196316,6.981029591812001
Universal American School,AL HEBIAH FIFTH,9748,93.90075342918547
Lycee Georges Pompidou Primary School,ME'AISEM SECOND,12,97.43229258507806
The Central School,LEHBAB FIRST,3197,92.38580542334172
Credence High School ,AL MUTEENA,46185,14.381078051119074
The International School of Choueifat - DIP,MADINAT DUBAI AL MELAHEYAH (AL MINA),15172,61.5074850842326
Jumeirah English Speaking School - Arabian Ranches,GRAYTEESAH,55,143.95985480483043
English Language Private School,AL MEZHAR SECOND,11317,14.482641768822532
Al Sadiq Islamic English School,OUD AL MUTEEN THIRD ,6679,11.587290014324985
Adab Iranian Private School - Girls,AL KARAMA,75066,7.454241178906512
Towheed Iranian School for Boys,AL LAYAN 2,0,142.9264714317338
Grammar School,SAIH AL DAHAL,16,127.8446232563386
Dubai Arab American Private School,AL SUQ AL KABEER,51012,19.08431050680955
Raffles World Academy,OUD AL MUTEEN SECOND ,5506,32.29333789971833
Dubai National School - Al Barsha,UM HURAIR FIRST,5856,44.44620962110951
Adab Iranian Private School - Boys,OUD AL MUTEEN FIRST,14672,9.554864222643904
Little Flowers English School,PORT SAEED,13551,12.305411720767585
St Mary High Catholic School -branch,AL QUSAIS IND FIFTH,1613,6.596204702473702
Adab Iranian Private School - Girls,ENKHALI,26,92.61304916767546
The Sheffield Private School,AL WASL,11555,28.16051811866173
Regent International School,MUHAISANAH THIRD,6493,33.81140199738766
Lycee Libanais Francophone Prive,AL BARSHA SOUTH FIRST,13717,27.615918740390864
Jumeirah College,TRADE CENTER FIRST,16519,45.418042109505386
Ranches Primary School ,AL YALAYIS 2,1364,142.59112426501673
Dubai National School - Al Twar,AL KHAWANEEJ ONE,12893,13.541950222055487
JSS Private School,AL HUDAIBA,14191,37.75603555095662
