school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,total_healthcare_facilities,nearest_metro_station,nearest_metro_distance_km,metro_within_1km,metro_within_2km,metro_within_5km,total_metro_stations,hospitals_within_5km,clinics_within_5km,pharmacies_within_5km,food_venues_within_5km,shopping_venues_within_5km,entertainment_venues_within_5km,accessibility_score,healthcare_accessibility_score,metro_accessibility_score,overall_urban_score
Rajagiri International School,Al Warqaa ,25.186925,55.402725,KG1-G8,1339.0,2008.0,Indian(CBSE),International Academic School,General Practice,0.1348314965438196,12,31,109,2312,Rashidiya,4.9522040333530954,0,0,10,540,0,1,0,1,1,1,3.025255018629385,0.108,4.952,0.42
Rashid School for Boys,Nad Al Sheba,25.181331,55.313416,KG1-G12,622.0,1986.0,UK,Healthagon Rehabiltation Center L.L.C,Physiotherapy,0.4376137968020973,4,6,100,2312,Creek,4.908991508143265,0,0,20,540,0,11,0,2,2,2,3.120440423606798,0.35,4.909,0.523
Regent International School,Emirates  Hills,25.088125,55.173753,FS1-G12,1414.0,1992.0,UK,Jumairah International Nursery,Nursing,0.033284374066094,6,39,292,2312,Dubai Internet City,1.5534509643856451,0,20,60,540,0,20,3,6,6,6,0.9453843282578248,0.027,1.398,1.012
Repton School Dubai,Nad Al Sheba,25.145306,55.378833,FS1-G12,2060.0,2007.0,UK/IB,Repton School Fz-LLC,Nursing,0.0693224338369643,3,5,103,2312,Creek,9.119182002007651,0,0,0,540,0,2,0,0,0,0,5.499238174739378,0.055,9.119,0.417
Russian International School,Al Muhaisnah,25.282619,55.404694,KG1-G11,426.0,1997.0,Russian,Russian Intenational School,Nursing,0.0288994528511203,16,31,160,2312,Al Qusais,2.814827991793085,0,0,50,540,0,5,3,5,5,5,1.7004565762162993,0.023,2.815,0.761
Salman Al Farsi Iranian School,Al Qusais,25.280592,55.370039,G1-G12,438.0,2000.0,Iranian,WOODLEM PARK SCHOOL LLC,Nursing,0.1808914785359479,32,95,264,2312,Al Nahda,0.8167995578720095,20,40,130,540,0,15,6,13,13,13,0.5624363261375849,0.145,0.653,1.095
School of Modern Skills,Al Muhaisnah,25.244356,55.416036,KG1-G12,1518.0,2006.0,US,Modern Skills School,General Practice,0.0590409179765323,7,26,163,2312,Etisalat,1.9064448404701184,0,10,30,540,0,3,2,3,3,3,1.167483271472684,0.047,1.716,0.829
Sharjah American International School,Al Warqaa,25.185614,55.403222,KG1-G12,1563.0,2005.0,US,International Academic School,General Practice,0.0956880462001463,12,33,106,2312,Rashidiya,5.105658124979419,0,0,0,540,0,1,0,0,0,0,3.10167009346771,0.077,5.106,0.406
St. Mary's Catholic High School,Umm Hurair,25.240369,55.317628,KG2-G11,1928.0,1973.0,UK,English Language Private School,General Practice,0.0877170716279743,76,209,670,2312,Oud Metha,0.4034294877594688,10,30,240,540,0,58,16,24,24,24,0.277144521306871,0.07,0.323,1.148
Star International School - Al Twar,Al Twar,25.259086,55.385236,FS1-G8,528.0,2000.0,UK,British Orchard Nursery Al Twar,Nursing,0.2941328383285713,10,31,254,2312,Al Qusais,0.4567326741505792,10,30,120,540,0,13,7,12,12,12,0.3916927398217761,0.235,0.365,1.133
Star International School - Mirdif,Mirdif,25.223019,55.417214,FS1-G5,469.0,2008.0,UK,EVERYOUNG CLINIC LLC,General Dentistry,0.1464217387740876,13,48,141,2312,Rashidiya,2.73680106478173,0,0,20,540,0,1,1,2,2,2,1.700649334378673,0.117,2.737,0.696
Horizon International Schoool,Umm Al Sheif,25.132825,55.204881,FS1-G9,861.0,2008.0,UK,Odyssey Nursery LLC (Branch),Nursing,0.2998418665668902,55,152,379,2312,FGB,0.743541632614425,10,20,50,540,0,14,7,5,5,5,0.5660617261954111,0.24,0.595,1.089
The Central School,Al Nahda,25.291533,55.375722,KG1-G12,3292.0,1981.0,Indian(CBSE),The Central School,General Practice,0.0206767551475705,34,75,173,2312,Stadium,2.0863474491530263,0,0,80,540,0,7,3,8,8,8,1.260079171550844,0.017,2.086,0.899
The Children's Garden,Al Barsha ,25.094577,55.211878,KG1-KG2,45.0,2012.0,Kindergarten,Redwood Early Learning Center Of Excellence BR Kids First Group LLC.,Nursing,0.0480565370778712,5,21,220,2312,Mashreq,3.0838185620222567,0,0,40,540,0,11,5,4,4,4,1.8695137520445024,0.038,3.084,0.778
The City School International,Nad Al Hamar,25.193606,55.388731,FS1-G10,753.0,1989.0,UK,The City School International Private,Nursing,0.0247769253092437,10,26,113,2312,Rashidiya,4.079172697543499,0,0,10,540,0,1,0,1,1,1,2.4574143886497968,0.02,4.079,0.53
The Elite English School,Al Waheda,25.288842,55.340475,KG1-G12,1698.0,1993.0,Indian(CBSE),The Elite English School,Nursing,0.0215502134812522,7,45,346,2312,Abu Hail,1.6205696127313194,0,20,140,540,0,17,6,14,14,14,0.9809618530312924,0.017,1.459,1.005
The English College - Dubai,Al Safa,25.16905,55.237469,G6-G12,581.0,1992.0,UK,The English College,General Practice,0.0579368159459316,21,125,436,2312,Noor Bank,1.7343241292416205,0,10,30,540,0,17,7,3,3,3,1.0637692039233448,0.046,1.561,0.99
The Indian Academy,Al Muhaisnah,25.257534,55.386361,KG1-G7,719.0,2012.0,Indian(ICSE),British Orchard Nursery Al Twar,Nursing,0.493398312179733,7,27,259,2312,Al Qusais,0.580808281292792,10,30,120,540,0,13,7,12,12,12,0.5458442936475685,0.395,0.465,1.111
The Indian High School,Oud Metha,25.240542,55.315133,G5-G12,5896.0,1961.0,Indian(CBSE),The Indian High School Clinic,General Practice,0.0174338087254843,79,218,676,2312,Oud Metha,0.3572399335285451,10,40,230,540,0,58,16,23,23,23,0.2213174836073208,0.014,0.286,1.156
The Indian High School - Branch,Al Garhoud,25.248436,55.340581,KG1-G4,4195.0,1988.0,Indian(CBSE),The Indian High School Clinic(Branch),General Practice,0.1159920988756215,44,83,584,2312,GGICO,0.1301958817727926,10,40,240,540,0,39,14,24,24,24,0.1245143686139241,0.093,0.104,1.18
The Indian International School,Dubai Silicon Oasis,25.115873,55.375965,KG1-G7,1858.0,2011.0,Indian(CBSE),The Indian International School(Dso Branch),General Practice,0.1653079546800893,14,34,68,2312,Creek,12.051602683334218,0,0,0,540,0,2,0,0,0,0,7.2970847918725665,0.132,12.052,0.413
The International School of Choueifat - DIP,Dubai Investment Park,24.983802,55.15553,KG1-G10,2190.0,2012.0,SABIS (UK/US),Karama Medical Centre(Br Dip),General Practice,0.3436909859843426,3,15,54,2312,Station R75,0.6449324616312266,10,10,40,540,0,2,1,4,4,4,0.524435871372473,0.275,0.516,0.969
The International School of Choueifat - Dubai,Al Sufouh,25.107181,55.171625,KG1-G12,4040.0,1994.0,SABIS (UK/US),The International School Of Choueifat Clinic,General Practice,0.0388176611332409,14,53,301,2312,Dubai Internet City,0.6057379028942793,10,10,60,540,0,17,5,6,6,6,0.378969806189864,0.031,0.485,1.126
The Kindergarten Starters,Al Garhoud,25.247964,55.339353,KG1-G5,5511.0,1982.0,Indian(CBSE),The Indian High School Clinic(Branch),General Practice,0.101289441292697,43,87,583,2312,GGICO,0.183710341945827,10,30,230,540,0,39,14,23,23,23,0.150741981684575,0.081,0.147,1.174
The Millennium School,Al Qusais,25.286631,55.367103,KG1-G12,2954.0,2000.0,Indian(CBSE),Al Maaref Private School,Nursing,0.0855904861654717,35,81,243,2312,Stadium,1.1278977049671777,0,30,110,540,0,15,5,11,11,11,0.710974817446495,0.068,1.015,1.061
The Oxford School,Al Muhaisnah,25.281228,55.402192,FS1-G12,2128.0,1988.0,UK,The Oxford School,General Practice,0.0289538006180272,17,32,163,2312,Al Qusais,2.540238816434383,0,0,60,540,0,5,3,6,6,6,1.535724810107841,0.023,2.54,0.804
The Philippine School,Al Twar,25.244733,55.393747,KG1-G10,1975.0,2008.0,Philippine,Deira Pvt School,General Practice,0.4755733410576671,2,8,205,2312,Etisalat,1.336957120645766,0,20,90,540,0,6,3,9,9,9,0.9924036088105264,0.38,1.203,0.971
Sheikh Rashid Bin Saeed Islamic Institute,Al Satwa,25.215886,55.269667,G6-G12,120.0,2003.0,MOE,Morfologie Slim Bods Slimming Therapy Center,Massage - Physiotherapy,0.3318970516376752,41,211,525,2312,Financial Centre,0.8038579863972274,10,40,70,540,0,49,10,7,7,7,0.6150736124934065,0.266,0.643,1.09
The School of Research Science,Al Qusais,25.20083,55.439205,FS1-G12,2699.0,2003.0,UK,The School Of Research Science,General Practice,0.082619221166712,2,7,103,2312,Rashidiya,5.831450569238346,0,0,0,540,0,1,0,0,0,0,3.531918030009692,0.066,5.831,0.407
The Sheffield Private School,Al Qusais,25.293372,55.385719,FS1-G11,1643.0,2004.0,UK,Sheffield Private School,General Practice,0.0268445220598742,15,57,166,2312,Al Nahda,2.7760033181177826,0,0,70,540,0,7,3,7,7,7,1.676339799694619,0.021,2.776,0.806
The Westminster School,Al Qusais,25.283053,55.370633,KG1-G12,5034.0,1988.0,UK,The Westminster School(Br Of Gems Wellington Academy FZE) Dubai Branch,General Practice,0.0273490740941856,36,98,241,2312,Stadium,1.08141124391022,0,40,120,540,0,15,6,12,12,12,0.6597863759838063,0.022,0.973,1.069
The Winchester School,Jebel Ali,25.040094,55.120922,FS1-G12,3617.0,2003.0,UK,The Winchester School,General Practice,0.0562451003204563,11,24,121,2312,Ibn Battuta,0.8128429412575223,10,20,80,540,0,7,1,8,8,8,0.5102038048826959,0.045,0.65,1.05
Towheed Iranian School for Boys,Al Quoz,25.170393,55.262097,KG1-G12,798.0,1958.0,Iranian,Our Own Indian School. School Clinic,General Practice,0.187287569910717,8,63,392,2312,Business Bay,2.328060504262284,0,0,40,540,0,20,5,4,4,4,1.4717513305216572,0.15,2.328,0.913
Towheed Iranian School for Girls,Al Karama,25.252983,55.306842,G1-G12,279.0,1958.0,Iranian,Iranian Towheed Girls School,Nursing,0.0322756250947036,65,189,663,2312,BurJuman,0.3334370678640572,10,60,220,540,0,59,16,22,22,22,0.2129724907563157,0.026,0.267,1.159
United International Private School,Al Muhaisnah,25.277289,55.408747,KG1-G10,1829.0,1992.0,Philippine,United International Pvt. School,Nursing,0.0564927602132692,11,24,160,2312,Etisalat,2.618441142614728,0,0,50,540,0,4,3,5,5,5,1.5936617896541443,0.045,2.618,0.774
Universal American School,Ras Al Khor,25.221422,55.365489,KG1-G12,1402.0,2005.0,US/IB,Universal American School-Dubai Festival City,General Practice,0.1729073826021993,2,21,235,2312,Emirates,2.183707592281099,0,0,80,540,0,16,7,8,8,8,1.379387508409539,0.138,2.184,0.931
Uptown School,Mirdif,25.210243,55.423257,KG1-G10,1222.0,2012.0,IB,UPTOWN INTERNATIONAL SCHOOL (BR OF TAALEEM MANAGEMENT(LLC)),General Practice,0.1675083151109496,6,30,130,2312,Rashidiya,3.9161609460780658,0,0,10,540,0,1,0,1,1,1,2.4166998936912187,0.134,3.916,0.543
