school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,nearest_metro_station,nearest_metro_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,metro_within_1km,metro_within_2km,metro_within_5km,accessibility_score
Lycee Georges Pompidou Primary School,Oud Metha,25.233711,55.316025,KG1-KG2,252.0,1998.0,French,Lycee Francais International Georges Pompidou Om,Nursing,0.08334024486424943,Dubai Health Care,0.7557114223252812,103,182,677,10,20,230,0.48676295134086844
Lycee Libanais Francophone Prive,Al Muhaisnah,25.275092,55.410419,KG1-G12,962.0,2004.0,French,United International Pvt. School,Nursing,0.35268962138229737,Etisalat,2.4463016802494106,9,27,161,0,0,50,1.6088568567025652
Mirdif Private School,Al Mizhar,25.237383,55.437061,KG1-G9,747.0,1995.0,US,Healthhub Plus (Br of Al Futtaim Healthcare Single Person Company LLC),Family Medicine,0.09187912855974983,Etisalat,4.111135236351522,23,50,110,0,0,20,2.503432793234813
National Charity School,Al Garhoud,25.238522,55.345831,G1-G12,5333.0,1984.0,MOE,National Charity School Boys,General Practice,0.0765986584103651,Airport Terminal 1,1.2883140641294868,21,65,504,0,40,220,0.8036279018418381
New Academy School,Al Raffa,25.250636,55.284283,KG1-G12,995.0,1990.0,US,New Academy School,General Practice,0.03656805294598309,Abu Dhabi Commercial Bank,1.5570654124528451,19,165,695,0,30,170,0.9488664686501003
New Indian Model School,Al Garhoud,25.237008,55.347017,KG1-G12,6973.0,1980.0,Indian(CBSE),New Indian Model School Clinic,General Practice,0.06288569292541789,Airport Terminal 1,1.3833994219144508,16,62,485,0,50,220,0.8551939303188376
New World Private School,Al Twar ,25.265406,55.374644,KG1-G12,1854.0,2005.0,MOE,Mnm Optics Llc Branch,Optometry,0.33171346971700455,Dubai Airport Free Zone,0.5042431372657136,20,45,313,10,40,140,0.43523127024623
Nibras International School,Green Community,25.000017,55.171757,KG1-G12,854.0,2005.0,US,Al Nibras Private School,General Practice,0.05958081669330585,Station R74,1.7278629398541063,7,15,64,0,10,60,1.0605500905897862
North American International School,Al Mizhar,25.236083,55.432139,KG1-G12,499.0,2007.0,US,North American International School L.L.C,General Practice,0.07436128228264093,Etisalat,3.7599928061345844,28,54,113,0,0,20,2.285740196593807
GEMS Our Own English High School,Al Warqaa ,25.193874,55.426669,KG1-G12,10169.0,1972.0,Indian(CBSE),Gems Our Own English High School,General Practice,0.04837071871226624,Rashidiya,5.391673423107701,1,12,130,0,0,0,3.254352341349527
Our Own High School - Dubai,Al Warqaa,25.190892,55.400567,G1-G12,4734.0,2005.0,Indian(CBSE),VELCARE ORTHODONTIC & DENTAL CLINIC L.L.C,General Dentistry,0.4124959177462915,Rashidiya,4.473813695256226,14,30,118,0,0,10,2.849286584252252
GEMS Our Own Indian School,Al Quoz,25.171781,55.260647,KG1-G12,3643.0,1991.0,Indian(CBSE),Our Own Indian School. School Clinic,General Practice,0.046882864198612116,Business Bay,2.16770905962591,8,75,408,0,0,40,1.3193785814549905
Pakistan Education Academy,Umm Hurair,25.241917,55.316989,KG1-G12,1689.0,1973.0,Pakistani,Pakistan Education Acedemy,General Practice,0.007350663048537974,Oud Metha,0.22057573040986161,64,231,673,10,50,240,0.13528570346533214
Philadelphia Private School,Al Muhaisnah,25.278906,55.402194,KG1-G12,1402.0,2006.0,US,Philadelphia Private School,General Practice,0.09185116893435549,Al Qusais,2.335355685970523,17,37,162,0,0,60,1.4379538791560558
