school_name,location,latitude,longitude,type_of_school,grades,students,year_established,nearest_healthcare_name,nearest_healthcare_distance_km_x,nearest_metro_station,nearest_metro_distance_km_x,nearest_community,nearest_community_distance_km,healthcare_accessibility_tier,metro_accessibility_tier,community_accessibility_tier,performance_category,geographic_cluster_label,accessibility_category,comprehensive_accessibility_score,final_urban_score,healthcare_within_1km_x,metro_within_1km_x,communities_within_1km,population_within_1km
International Academic School,Al Warqaa ,25.186381,55.403486,MOE/US,KG1-G12,987.0,2006.0,International Academic School,0.0386652996818138,Rashidiya,5.029302278433929,PORT SAEED,0.9426953246919262,Excellent,Poor,Excellent,Medium,Eastern Cluster,Excellent,4.04,2.5872,13,0,1,13551
International School of Arts and Sciences,Al Warqaa ,25.189861,55.401889,US,KG1-G12,843.0,2006.0,VELCARE ORTHODONTIC & DENTAL CLINIC L.L.C,0.2631246070032539,Rashidiya,4.615117923878074,PORT SAEED,0.8024187886710906,Excellent,Moderate,Excellent,Medium,Eastern Cluster,Excellent,4.04,2.6064,15,0,1,13551
Islamic School for Education and Training,Al Muhaisnah,25.252208,55.416992,MOE,KG1-G11,718.0,1982.0,Islamic School For Traning and Education,0.0303385129383743,Etisalat,1.6332997242484557,DUBAI  AIRPORT,5.189484487013391,Excellent,Good,Poor,High,Eastern Cluster,Excellent,5.0,3.3492,8,0,0,0
Japanese School in Dubai,Al Wasl,25.192697,55.254131,Japanese,G1-G9,137.0,1980.0,Japanese School,0.0332289717232961,Business Bay,0.6521181745839112,BURJ KHALIFA,2.0999605604881806,Excellent,Excellent,Moderate,High,Central Cluster,Excellent,4.7,3.268,25,10,0,0
Jebel Ali Primary School,Jebel Ali,25.034761,55.117981,UK,KG1-G5,626.0,1978.0,Delhi Private School,0.6148684374213508,Ibn Battuta,1.3312140484439103,AL BARSHAA FIRST,12.1773303229198,Good,Good,Poor,High,Southern Cluster,Excellent,5.0,3.3944,8,0,0,0
JSS International School,Al Barsha ,25.075028,55.215356,Indian(ICSE),KG1-G12,1783.0,2009.0,GEMS WORLD ACADEMY NURSERY LLC,0.7814895207227562,Mashreq,5.06130322341543,AL BARSHAA FIRST,4.497962383406415,Good,Poor,Moderate,High,Southern Cluster,Excellent,4.7,3.0116,4,0,0,0
JSS Private School,Al Safa,25.191845,55.252894,Indian(CBSE),KG1-G11,1898.0,2011.0,Jss Private School,0.0325947771747368,Business Bay,0.7597668635049464,BURJ KHALIFA,2.244295349544454,Excellent,Excellent,Moderate,High,Central Cluster,Excellent,4.7,3.2632,23,10,0,0
Jumeira Baccalaureate School,Jumeirah First,25.218637,55.259723,UK/IB,KG1-G12,823.0,2010.0,Jumeira Baccalaureate School-Br Of Taaleem Managment L.L.C,0.1269203739844122,Financial Centre,1.8061804288246832,JUMEIRA BAY,1.8997715280050855,Excellent,Good,Good,Medium,Central Cluster,Excellent,4.3100000000000005,2.9772000000000003,82,0,0,0
Jumeirah College,Al Safa ,25.176394,55.235789,UK,G6-G12,1110.0,2000.0,Gems Jumeira Primary School,0.2487582085613119,Noor Bank,2.4120268177629063,BURJ KHALIFA,4.521817574016454,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.1804,37,0,0,0
Jumeirah English Speaking School,Al Safa ,25.179742,55.243147,UK,FS1-G5,698.0,1976.0,Jumeirah English Speaking School,0.0687699865199765,Business Bay,2.1598331720278243,BURJ KHALIFA,3.6956384732921976,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.1952,36,0,0,0
Jumeirah English Speaking School - Arabian Ranches,Arabian Ranches,25.056689,55.272661,UK/IB,FS1-G12,1370.0,2005.0,Jumeirah English Speaking School(Al Marabaa Al Rabaia),0.0746299450847198,FGB,10.157475928187774,AL BARSHAA FIRST,9.530365814742986,Excellent,Poor,Poor,High,Southern Cluster,Excellent,5.0,3.1628,2,0,0,0
K12 International Academy,Knowledge Village,25.101772,55.160615,US,KG2-G12,344.0,2008.0,Smart Salem Medical Center 3 FZ LLC,0.0060307747478722,Dubai Internet City,1.3262598962158048,AL BARSHAA FIRST,4.360017269151285,Excellent,Good,Moderate,High,Southern Cluster,Excellent,4.7,3.2364,8,0,0,0
Khadija Al Kobra Iranian School for Girls,Al Karama,25.252825,55.307217,Iranian,G1-G12,395.0,2000.0,Iranian Towheed Girls School,0.0681471915698014,BurJuman,0.3739925677797262,AL TWAR FIRST,1.128375922343991,Excellent,Excellent,Good,High,Northern Cluster,Excellent,4.3100000000000005,3.0468,63,10,0,0
Kings' Dubai,Umm Suqeim,25.135958,55.196242,UK,FS1-G7,866.0,2004.0,Dubai Kings Private School,0.0584128441620055,FGB,1.559390479947892,AL BARSHAA FIRST,2.5505166700628283,Excellent,Good,Moderate,High,Central Cluster,Excellent,4.7,3.2204,48,0,0,0
Latifa School for Girls,Nad Al Sheba,25.149325,55.326118,UK,KG1-G12,626.0,1982.0,Al Futtaim Healthcare Single Person Company LLC - Company Clinic,1.1213201141103462,Creek,7.8488139640607715,BURJ KHALIFA,7.444936651696634,Moderate,Poor,Poor,High,Western Cluster,Excellent,5.0,3.142,0,0,0,0
